YAA**Anahim Lake Airport (TC: CAJ4)*Anahim Lake, British Columbia, Canada
YTS*CYTS*Timmins/Victor M. Power Airport*Timmins, Ontario, Canada
YTT**Tisdale Airport (TC: CJY3)*Tisdale, Saskatchewan, Canada
YTU**Tasu Water Aerodrome*Tasu, British Columbia, Canada
YTX**Telegraph Creek Airport (TC: CBM5)*Telegraph Creek, British Columbia, Canada
YTY*ZSYA*Yangzhou Taizhou Airport*Yangzhou / Taizhou, Jiangsu, China
YTZ*CYTZ*Billy Bishop Toronto City Airport (Toronto Island Airport)*Toronto, Ontario, Canada
YUA*ZPYM*Yuanmou Air Base*Yuanmou, Yunnan, China
YUB*CYUB*Tuktoyaktuk/James Gruben Airport*Tuktoyaktuk, Northwest Territories, Canada
YUD*CYMU*Umiujaq Airport*Umiujaq, Quebec, Canada
YUE*YYND*Yuendumu Airport*Yuendumu, Northern Territory, Australia
YUL*CYUL*Montréal–Pierre Elliott Trudeau International Airport*Montreal, Quebec, Canada
YUM*KNYL*Yuma International Airport / MCAS Yuma (FAA: NYL)*Yuma, Arizona, United States
YUS*ZLYS*Yushu Batang Airport*Yushu City, Qinghai, China
YUT*CYUT*Repulse Bay Airport*Naujaat (Repulse Bay), Nunavut, Canada
YUX*CYUX*Hall Beach Airport*Hall Beach, Nunavut, Canada
YUY*CYUY*Rouyn-Noranda Airport*Rouyn-Noranda, Quebec, Canada
YVA*FMCN*Iconi Airport*Moroni, Comoros
YVB*CYVB*Bonaventure Airport*Bonaventure, Quebec, Canada
YVC*CYVC*La Ronge (Barber Field) Airport*La Ronge, Saskatchewan, Canada
YVD**Yeva Airport*Yeva, Papua New Guinea
YVE*CYVK*Vernon Regional Airport*Vernon, British Columbia, Canada
YVG*CYVG*Vermilion Airport*Vermilion, Alberta, Canada
YVM*CYVM*Qikiqtarjuaq Airport*Qikiqtarjuaq, Nunavut, Canada
YVN*CYVN*Cape Dyer Airport*Cape Dyer, Nunavut, Canada
YVO*CYVO*Val-d'Or Airport*Val-d'Or, Quebec, Canada
YVP*CYVP*Kuujjuaq Airport*Kuujjuaq, Quebec, Canada
YVQ*CYVQ*Norman Wells Airport*Norman Wells, Northwest Territories, Canada
YVR*CYVR*Vancouver International Airport*Vancouver, British Columbia, Canada
YVT*CYVT*Buffalo Narrows Airport*Buffalo Narrows, Saskatchewan, Canada
YVV*CYVV*Wiarton Airport*Wiarton, Ontario, Canada
YVZ*CYVZ*Deer Lake Airport*Deer Lake, Ontario, Canada
YWA*CYWA*Petawawa Airport*Petawawa, Ontario, Canada
YWB*CYKG*Kangiqsujuaq (Wakeham Bay) Airport*Kangiqsujuaq, Quebec, Canada
YWG*CYWG*Winnipeg James Armstrong Richardson International Airport*Winnipeg, Manitoba, Canada
YWH*CYWH*Victoria Harbour Water Airport*Victoria, British Columbia, Canada
YWJ*CYWJ*Déline Airport*Deline, Northwest Territories, Canada
YWK*CYWK*Wabush Airport*Wabush, Newfoundland and Labrador, Canada
YWL*CYWL*Williams Lake Airport*Williams Lake, British Columbia, Canada
YWM**Williams Harbour Airport (TC: CCA6)*William's Harbour, Newfoundland and Labrador, Canada
YWP*CYWP*Webequie Airport*Webequie, Ontario, Canada
YWQ**Chutes-des-Passes/Lac Margane Water Aerodrome (TC: CTM3)*Passes-Dangereuses (Chute-des-Passes), Quebec, Canada
YWR**White River Water Aerodrome (TC: CNJ8)*White River, Ontario, Canada
YWS**Whistler/Green Lake Water Aerodrome (TC: CAE5)*Whistler, British Columbia, Canada
YWY*CYWY*Wrigley Airport*Wrigley, Northwest Territories, Canada
YXC*CYXC*Cranbrook/Canadian Rockies International Airport*Cranbrook, British Columbia, Canada
YXD*CYXD*Edmonton City Centre (Blatchford Field) Airport*Edmonton, Alberta, Canada
YXE*CYXE*Saskatoon John G. Diefenbaker International Airport*Saskatoon, Saskatchewan, Canada
YXH*CYXH*Medicine Hat Airport*Medicine Hat, Alberta, Canada
YXJ*CYXJ*Fort St. John Airport (North Peace Airport)*Fort St. John, British Columbia, Canada
YXK*CYXK*Rimouski Airport*Rimouski, Quebec, Canada
YXL*CYXL*Sioux Lookout Airport*Sioux Lookout, Ontario, Canada
YXN*CYXN*Whale Cove Airport*Whale Cove, Nunavut, Canada
YXP*CYXP*Pangnirtung Airport*Pangnirtung, Nunavut, Canada
YXQ*CYXQ*Beaver Creek Airport*Beaver Creek, Yukon, Canada
YXR*CYXR*Earlton (Timiskaming Regional) Airport*Armstrong (Earlton), Ontario, Canada
YXS*CYXS*Prince George Airport*Prince George, British Columbia, Canada
YXT*CYXT*Northwest Regional Airport*Terrace, British Columbia, Canada
YXU*CYXU*London International Airport*London, Ontario, Canada
YXX*CYXX*Abbotsford International Airport*Abbotsford, British Columbia, Canada
YXY*CYXY*Erik Nielsen Whitehorse International Airport*Whitehorse, Yukon, Canada
YXZ*CYXZ*Wawa Airport*Wawa, Ontario, Canada
YYB*CYYB*North Bay/Jack Garland Airport*North Bay, Ontario, Canada
YYC*CYYC*Calgary International Airport*Calgary, Alberta, Canada
YYD*CYYD*Smithers Airport*Smithers, British Columbia, Canada
YYE*CYYE*Northern Rockies Regional Airport*Fort Nelson, British Columbia, Canada
YYF*CYYF*Penticton Regional Airport*Penticton, British Columbia, Canada
YYG*CYYG*Charlottetown Airport*Charlottetown, Prince Edward Island, Canada
YYH*CYYH*Taloyoak Airport*Taloyoak, Nunavut, Canada
YYI*CYYI*Rivers Airport*Rivers, Manitoba, Canada
YYJ*CYYJ*Victoria International Airport*Victoria, British Columbia, Canada
YYL*CYYL*Lynn Lake Airport*Lynn Lake, Manitoba, Canada
YYM*CYYM*Cowley Airport*Cowley, Alberta, Canada
YYN*CYYN*Swift Current Airport*Swift Current, Saskatchewan, Canada
YYQ*CYYQ*Churchill Airport*Churchill, Manitoba, Canada
YYR*CYYR*CFB Goose Bay*Happy Valley-Goose Bay, Newfoundland and Labrador, Canada
YYT*CYYT*St. John's International Airport*St. John's, Newfoundland and Labrador, Canada
YYU*CYYU*Kapuskasing Airport*Kapuskasing, Ontario, Canada
YYW*CYYW*Armstrong Airport*Armstrong, Ontario, Canada
YYY*CYYY*Mont-Joli Airport*Mont-Joli, Quebec, Canada
YYZ*CYYZ*Toronto Pearson International Airport*Toronto, Ontario, Canada
YZA*CYZA*Cache Creek Airport (Ashcroft Regional Airport)*Cache Creek / Ashcroft, British Columbia, Canada
YZE*CYZE*Gore Bay-Manitoulin Airport*Gore Bay, Ontario, Canada
YZF*CYZF*Yellowknife Airport*Yellowknife, Northwest Territories, Canada
YZG*CYZG*Salluit Airport*Salluit, Quebec, Canada
YZH*CYZH*Slave Lake Airport*Slave Lake, Alberta, Canada
YZP*CYZP*Sandspit Airport*Sandspit, British Columbia, Canada
YZR*CYZR*Sarnia Chris Hadfield Airport*Sarnia, Ontario, Canada
YZS*CYZS*Coral Harbour Airport*Coral Harbour, Nunavut, Canada
YZT*CYZT*Port Hardy Airport*Port Hardy, British Columbia, Canada
YZU*CYZU*Whitecourt Airport*Whitecourt, Alberta, Canada
YZV*CYZV*Sept-Îles Airport*Sept-Îles, Quebec, Canada
YZW*CYZW*Teslin Airport*Teslin, Yukon, Canada
YZX*CYZX*CFB Greenwood*Greenwood, Nova Scotia, Canada
YZY*ZLZY*Zhangye Ganzhou Airport*Zhangye, Gansu, China
YZZ**Trail Airport (TC: CAD4)*Trail, British Columbia, Canada
